id,ciudad,zona,latitud,longitud
235,CALI,Sur,3.352027217,-76.53389025
236,CALI,Sur,3.352027217,-76.53389025
237,CALI,Norte,3.467348117,-76.53282005
238,CALI,Sur,3.375097319,-76.52260352
239,CALI,Sur,3.375097319,-76.52260352
240,CALI,Oeste,3.459913228,-76.56161893
241,CALI,Oeste,3.459666915,-76.56122733
242,CALI,Sur,3.356905828,-76.50615085
243,CALI,Sur,3.356905828,-76.50615085
244,CALI,Sur,3.34056158,-76.54122341
245,CALI,Sur,3.34056158,-76.54122341
246,CALI,Sur,3.403687848,-76.53824549
247,CALI,Sur,3.403687848,-76.53824549
248,CALI,Sur,3.371985993,-76.50586117
249,CALI,Sur,3.371985993,-76.50586117
250,CALI,Sur,3.361484525,-76.5437286
251,CALI,Sur,3.361484525,-76.5437286
252,CALI,Sur,3.370775734,-76.50640834
253,CALI,Sur,3.370775734,-76.50640834
254,CALI,Sur,3.420114033,-76.53642762
255,CALI,Sur,3.420114033,-76.53642762
256,CALI,Sur,3.382674775,-76.50900472
257,CALI,Sur,3.382674775,-76.50900472
258,CALI,Sur,3.344470944,-76.51845682
259,CALI,Sur,3.344470944,-76.51845682
260,CALI,Sur,3.357762662,-76.50038946
261,CALI,Sur,3.357762662,-76.50038946
262,CALI,Sur,3.404699934,-76.53957654
263,CALI,Sur,3.404699934,-76.53957654
264,CALI,Sur,3.371378186,-76.54887844
265,CALI,Sur,3.371378186,-76.54887844
266,CALI,Norte,3.488795716,-76.52223337
267,CALI,Norte,3.491365861,-76.50681604
268,CALI,Norte,3.490139688,-76.50727738
269,CALI,Sur,3.348891719,-76.54768083
270,CALI,Sur,3.348891719,-76.54768083
271,CALI,Sur,3.367359149,-76.53540838
272,CALI,Sur,3.367359149,-76.53540838
273,CALI,Sur,3.343946126,-76.52005542
274,CALI,Sur,3.343946126,-76.52005542
275,CALI,Oeste,3.429348451,-76.54613722
276,CALI,Sur,3.36234671,-76.5309881
277,CALI,Sur,3.36234671,-76.5309881
278,CALI,Sur,3.402713246,-76.52851511
279,CALI,Sur,3.402713246,-76.52851511
280,CALI,Norte,3.462826148,-76.52808595
281,CALI,Sur,3.350811576,-76.53006542
282,CALI,Sur,3.350811576,-76.53006542
283,CALI,Sur,3.346302448,-76.52189005
284,CALI,Sur,3.346302448,-76.52189005
285,CALI,Sur,3.356643423,-76.52092445
